Seed,Price (Regular),Price (Silver),Price (Gold),Price (Iridium),Growth Time (In Days),Purchase Source,Name,Season,Buy Price (Seed),Regrowth Time (In Days),XP,Regular (lvl 0),Silver (lvl 0),Gold (lvl 0),Regular (lvl 5),Silver (lvl 5),Gold (lvl 5),Regular (lvl 10),Silver (lvl 10),Gold (lvl 10)
Amaranth Seeds,150,187,225,300,7,"[""Pierre's"", 'JojaMart']", Amaranth,['Fall'],70,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Ancient Seeds,550,687,825,1100,28,['Crafting Recipe'], Ancient Fruit,"['Spring', 'Summer', 'Fall']",0,7.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Artichoke Seeds,160,200,240,320,8,"[""Pierre's""]", Artichoke,['Fall'],30,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Bean Starter,40,50,60,80,10,"[""Pierre's"", 'JojaMart']", Green Bean,['Spring'],60,3.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Beet Seeds,100,125,150,200,6,['Oasis'], Beet,['Fall'],20,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Blueberry Seeds,50,62,75,100,13,"[""Pierre's""]", Blueberry,['Summer'],80,4.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Bok Choy Seeds,80,100,120,160,4,"[""Pierre's"", 'JojaMart']", Bok Choy,['Fall'],50,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Broccoli Seeds,70,87,105,140,8,['Foraging'], Broccoli,['Fall'],0,4.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Cactus Seeds,75,93,112,150,12,['Oasis'], Cactus Fruit,['All'],150,3.0,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Carrot Seeds,35,43,52,70,3,['Foraging'], Carrot,['Spring'],0,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
Cauliflower Seeds,175,218,262,350,12,"[""Pierre's"", 'JojaMart']", Cauliflower,['Spring'],80,,,0.9702,0.0198,0.01,0.6942,0.1958,0.11,0.4582,0.3318,0.21
